"ESU_DPS","MAJORPOPGROUP","SPAWNINGYEAR","COUNT","HCOUNT"
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1980,450,0
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1981,340,0
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1982,720,0
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1983,428,104
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1984,324,294
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1985,438,235
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1986,449,312
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1987,253,649
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1988,368,241
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1989,295,382
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1990,78,239
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1991,318,253
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1992,549,111
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1993,742,195
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1994,406,186
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1995,350,267
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1996,639,260
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1997,797,195
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1998,306,610
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",1999,905,890
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2000,1149,1409
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2001,5164,4381
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2002,2112,7235
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2003,3455,8974
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2004,6088,9522
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2005,4585,5339
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2006,3982,2503
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2007,2815,5539
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2008,2993,8932
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2009,4282,16403
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2010,7356,32408
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2011,8064,15516
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2012,11325,19038
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2013,20444,30795
"Salmon, Chinook (Snake River fall-run ESU)","Snake River",2014,13141,39848
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1980,2023,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1981,1738,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1982,2996,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1983,2532,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1984,2316,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1985,4426,127
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1986,2530,580
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1987,1670,2325
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1988,2058,2343
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1989,764,457
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1990,605,958
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1991,700,736
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1992,450,2090
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1993,1275,1685
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1994,272,298
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1995,399,166
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1996,1213,118
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1997,775,327
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1998,818,210
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",1999,693,452
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2000,1877,733
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2001,3496,1549
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2002,3255,2406
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2003,3344,2024
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2004,2006,2527
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2005,1338,1431
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2006,1430,1024
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2007,1004,1169
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2008,1855,3715
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2009,1744,2233
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2010,2748,4608
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2011,2726,4274
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2012,2452,1895
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2013,1539,1692
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2014,3477,3134
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2015,2179,2360
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2016,2219,1226
"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha",2017,678,692
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1980,624,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1981,852,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1982,624,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1983,563,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1984,586,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1985,695,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1986,440,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1987,407,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1988,259,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1989,273,3
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1990,446,126
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1991,198,93
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1992,305,171
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1993,250,151
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1994,97,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1995,27,0
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1996,117,35
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1997,68,37
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1998,44,16
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",1999,5,155
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2000,62,139
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2001,615,154
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2002,222,346
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2003,245,86
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2004,316,59
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2005,208,48
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2006,178,48
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2007,172,46
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2008,499,310
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2009,620,584
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2010,555,394
"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake",2011,629,255
