group,esu,year,count,etrend,trigger,Ave4yr,Ave10yr,logbplus1,geomean10,geomean5,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1980,6134,,6134,,,8.7218,,,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1981,11318,,11292,,,9.3342,,,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1982,11307,,11300,,,9.3333,,,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1983,9845,,9838,,,9.1948,,,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1984,7929,,7929,,,8.9784,,9067,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1985,10682,,10182,,,9.2764,,10131,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1986,11359,,10109,,,9.3379,,10138,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1987,10140,,9622,,,9.2243,,9920,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1988,11182,,10826,,,9.3222,,10175,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1989,6499,,6454,,9640,8.7796,9416,9779,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1990,9850,4625,9342,9418,10011,9.1953,9873,9621,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1991,6013,4957,5756,8386,9481,8.7018,9268,8472,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1992,13056,5312,12673,8855,9656,9.4771,9402,8911,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1993,12827,5692,12522,10437,9954,9.4594,9654,9159,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1994,1954,6100,1856,8463,9356,7.5781,8392,7202,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1995,1186,6537,1167,7256,8407,7.0792,6736,4716,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1996,3783,7006,3643,4938,7649,8.2385,6035,4299,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1997,4968,7508,5557,2973,7132,8.5110,5619,3543,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1998,7365,8046,7599,4326,6750,8.9046,5390,3171,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",1999,2856,8622,2853,4743,6386,7.9575,4964,3421,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2000,8255,9240,8187,5861,6226,9.0187,4877,5044,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2001,45273,9902,44572,15937,10152,10.7205,5968,8286,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2002,30213,10611,29872,21649,11868,10.3161,6491,11889,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2003,32324,11372,32080,29016,13818,10.3836,7119,15981,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2004,21367,12187,20967,32294,15759,9.9696,9043,23900,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2005,10131,13060,9832,23509,16654,9.2235,11206,24900,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2006,9385,13995,9340,18302,17214,9.1470,12272,18176,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2007,7093,14998,6903,11994,17426,8.8670,12717,13603,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2008,17574,16073,16953,11046,18447,9.7742,13873,12042,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2009,14967,17224,,12255,19658,9.6137,16372,11215,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2010,26622,18459,,16564,21495,10.1895,18405,13605,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2011,24526,19781,,20922,19420,10.1075,17311,16487,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2012,25634,21198,,22937,18962,10.1517,17029,21318,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2013,14576,22717,,22840,17188,9.5872,15725,20535,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2014,32065,24345,,24200,18257,10.3756,16377,23915,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2015,22577,26089,,23713,19502,10.0247,17743,23140,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2016,16161,27959,,21345,20180,9.6904,18734,21287,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2017,4425,29962,,18807,19913,8.3953,17871,14981,
Snake R S/S Chinook (LGR+Tuc),"Salmon, Chinook (Snake River spring/summer-run ESU)",2018,6632,32109,,12449,18819,8.7998,16211,12798,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1980,2772,,2532,,,7.9277,,,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1981,3253,,2450,,,8.0876,,,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1982,3015,,2780,,,8.0117,,,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1983,4286,,4653,,,8.3633,,,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1984,4608,,3645,,,8.4358,,3515,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1985,8941,,6271,,,9.0985,,4443,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1986,5519,,3942,,,8.6161,,4939,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1987,6352,,3620,,,8.7567,,5733,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1988,5658,,3443,,,8.6410,,6060,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1989,4130,,2774,,4853,8.3263,4565,5929,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1990,2808,,2460,4737,4857,7.9406,4571,4703,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1991,1533,,1252,3532,4685,7.3356,4240,3640,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1992,3163,,3013,2909,4700,8.0596,4260,3166,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1993,3102,,2888,2652,4581,8.0401,4125,2808,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1994,611,,713,2102,4182,6.4167,3370,1916,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1995,108,,89,1746,3298,4.6913,2167,999,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1996,317,,150,1035,2778,5.7621,1628,729,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1997,746,,604,446,2218,6.6161,1314,546,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1998,367,,216,385,1689,5.9081,1000,356,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",1999,284,,417,429,1304,5.6525,765,306,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2000,904,,890,575,1114,6.8079,683,467,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2001,4807,,4938,1591,1441,8.4780,766,805,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2002,1957,,2809,1988,1320,7.5797,730,976,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2003,1581,,1191,2312,1168,7.3664,682,1307,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2004,1641,,1436,2497,1271,7.4037,753,1857,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2005,2080,,1444,1815,1468,7.6406,1012,2193,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2006,933,,962,1559,1530,6.8395,1128,1580,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2007,398,,722,1263,1495,5.9890,1059,1149,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2008,675,,1312,1022,1526,6.5162,1126,969,
