"group","year","count"
"srchinook",1980,8148
"srchinook",1981,16441
"srchinook",1982,16577
"srchinook",1983,13412
"srchinook",1984,11940
"srchinook",1985,30269
"srchinook",1986,37876
"srchinook",1987,34726
"srchinook",1988,35640
"srchinook",1989,16124
"srchinook",1990,22408
"srchinook",1991,10432
"srchinook",1992,24405
"srchinook",1993,28286
"srchinook",1994,3915
"srchinook",1995,1797
"srchinook",1996,6814
"srchinook",1997,44564
"srchinook",1998,14209
"srchinook",1999,6556
"srchinook",2000,37761
"srchinook",2001,185693
"srchinook",2002,97184
"srchinook",2003,87031
"srchinook",2004,79509
"srchinook",2005,32764
"srchinook",2006,29588
"srchinook",2007,30187
"srchinook",2008,72758
"srchinook",2009,64149
"srchinook",2010,122981
"srchinook",2011,96106
"srchinook",2012,79529
"srchinook",2013,43454
"srchinook",2014,93835
"srchinook",2015,119831
"srchinook",2016,74160
"srchinook",2017,36309
"srchinook",2018,38465
"fallchinook",1980,455
"fallchinook",1981,337
"fallchinook",1982,724
"fallchinook",1983,535
"fallchinook",1984,637
"fallchinook",1985,693
"fallchinook",1986,784
"fallchinook",1987,950
"fallchinook",1988,627
"fallchinook",1989,706
"fallchinook",1990,385
"fallchinook",1991,630
"fallchinook",1992,855
"fallchinook",1993,1170
"fallchinook",1994,791
"fallchinook",1995,1067
"fallchinook",1996,1308
"fallchinook",1997,1451
"fallchinook",1998,1909
"fallchinook",1999,3381
"fallchinook",2000,3694
"fallchinook",2001,8915
"fallchinook",2002,12351
"fallchinook",2003,11732
"fallchinook",2004,14960
"fallchinook",2005,11194
"fallchinook",2006,8048
"fallchinook",2007,10197
"fallchinook",2008,16628
"fallchinook",2009,15167
"fallchinook",2010,41815
"fallchinook",2011,25249
"fallchinook",2012,34688
"fallchinook",2013,56565
"fallchinook",2014,60686
"fallchinook",2015,59299
"fallchinook",2016,34714
"fallchinook",2017,26430
"fallchinook",2018,16900
"srsteelhead",1994,8185
"srsteelhead",1995,7632
"srsteelhead",1996,9583
"srsteelhead",1997,8991
"srsteelhead",1998,9559
"srsteelhead",1999,11746
"srsteelhead",2000,20604
"srsteelhead",2001,47716
"srsteelhead",2002,57291
"srsteelhead",2003,45391
"srsteelhead",2004,36209
"srsteelhead",2005,35977
"srsteelhead",2006,29836
"srsteelhead",2007,33183
"srsteelhead",2008,43678
"srsteelhead",2009,76203
"srsteelhead",2010,61278
"srsteelhead",2011,48105
"srsteelhead",2012,31426
"srsteelhead",2013,33634
"srsteelhead",2014,52151
"srsteelhead",2015,39266
"srsteelhead",2016,23788
"srsteelhead",2017,14844
"srsteelhead",2018,12135
"srsteelhead",2019,899
"ucchinook",1980,9118
"ucchinook",1981,15105
"ucchinook",1982,9009
"ucchinook",1983,10205
"ucchinook",1984,12419
"ucchinook",1985,24442
"ucchinook",1986,22222
"ucchinook",1987,18861
"ucchinook",1988,13435
"ucchinook",1989,12411
"ucchinook",1990,12363
"ucchinook",1991,7967
"ucchinook",1992,19933
"ucchinook",1993,29817
"ucchinook",1994,3315
"ucchinook",1995,1278
"ucchinook",1996,2570
"ucchinook",1997,6944
"ucchinook",1998,4365
"ucchinook",1999,4323
"ucchinook",2000,20914
"ucchinook",2001,52124
"ucchinook",2002,35342
"ucchinook",2003,19838
"ucchinook",2004,15605
"ucchinook",2005,16980
"ucchinook",2006,9229
"ucchinook",2007,7894
"ucchinook",2008,13231
"ucchinook",2009,15863
"ucchinook",2010,31754
"ucchinook",2011,16191
"ucchinook",2012,21036
"ucchinook",2013,19085
"ucchinook",2014,26804
"ucchinook",2015,31469
"ucchinook",2016,20792
"ucchinook",2017,8808
"ucchinook",2018,9193
"sockeye",1980,96
"sockeye",1981,218
"sockeye",1982,211
"sockeye",1983,122
"sockeye",1984,47
"sockeye",1985,35
"sockeye",1986,15
"sockeye",1987,29
"sockeye",1988,23
"sockeye",1989,2
"sockeye",1991,8
"sockeye",1992,15
"sockeye",1993,12
"sockeye",1994,5
"sockeye",1995,3
"sockeye",1996,3
"sockeye",1997,11
"sockeye",1998,2
"sockeye",1999,14
"sockeye",2000,299
"sockeye",2001,36
"sockeye",2002,55
"sockeye",2003,11
"sockeye",2004,113
"sockeye",2005,18
"sockeye",2006,17
"sockeye",2007,52
"sockeye",2008,909
"sockeye",2009,1219
"sockeye",2010,2201
"sockeye",2011,1502
"sockeye",2012,470
"sockeye",2013,757
"sockeye",2014,2786
"sockeye",2015,440
"sockeye",2016,816
"sockeye",2017,228
"sockeye",2018,276
"yakima",1984,1668
"yakima",1985,1299
"yakima",1986,2945
"yakima",1987,1851
"yakima",1988,2143
"yakima",1989,1097
"yakima",1990,757
"yakima",1991,1409
"yakima",1992,1318
"yakima",1993,866
"yakima",1994,868
"yakima",1995,649
"yakima",1996,465
"yakima",1997,1224
"yakima",1998,1070
"yakima",1999,1479
"yakima",2000,1853
"yakima",2001,4612
"yakima",2002,2758
"yakima",2003,3035
"yakima",2004,3343
"yakima",2005,2022
"yakima",2006,1583
"yakima",2007,2233
"yakima",2008,3595
"yakima",2009,5421
"yakima",2010,6428
"yakima",2011,5384
"yakima",2012,6128
"yakima",2013,3583
"yakima",2014,5842
"yakima",2015,4402
"yakima",2016,12
"yakima",2017,1276
"yakima",2018,1098
"yakima",2019,2
