group,year,count,10yrGeomean
srchinook,1980,8148,
srchinook,1981,16441,
srchinook,1982,16577,
srchinook,1983,13412,
srchinook,1984,11940,
srchinook,1985,30269,
srchinook,1986,37876,
srchinook,1987,34726,
srchinook,1988,35640,
srchinook,1989,16124,19545
srchinook,1990,22408,21626
srchinook,1991,10432,20664
srchinook,1992,24405,21479
srchinook,1993,28286,23143
srchinook,1994,3915,20701
srchinook,1995,1797,15608
srchinook,1996,6814,13148
srchinook,1997,44564,13480
srchinook,1998,14209,12296
srchinook,1999,6556,11237
srchinook,2000,37761,11839
srchinook,2001,185693,15790
srchinook,2002,97184,18130
srchinook,2003,87031,20286
srchinook,2004,79509,27414
srchinook,2005,32764,36648
srchinook,2006,29588,42445
srchinook,2007,30187,40823
srchinook,2008,72758,48066
srchinook,2009,64149,60380
srchinook,2010,122981,67947
srchinook,2011,96106,63616
srchinook,2012,79529,62353
srchinook,2013,43454,58170
srchinook,2014,93835,59141
srchinook,2015,119831,67330
srchinook,2016,74160,73810
srchinook,2017,36309,75185
srchinook,2018,38465,70543
srchinook,2019,23616,63834
fallchinook,1980,455,
fallchinook,1981,337,
fallchinook,1982,724,
fallchinook,1983,535,
fallchinook,1984,637,
fallchinook,1985,693,
fallchinook,1986,784,
fallchinook,1987,950,
fallchinook,1988,627,
fallchinook,1989,706,622
fallchinook,1990,385,612
fallchinook,1991,630,651
fallchinook,1992,855,662
fallchinook,1993,1170,716
fallchinook,1994,791,731
fallchinook,1995,1067,764
fallchinook,1996,1308,804
fallchinook,1997,1451,839
fallchinook,1998,1909,937
fallchinook,1999,3381,1096
fallchinook,2000,3694,1375
fallchinook,2001,8915,1792
fallchinook,2002,12351,2340
fallchinook,2003,11732,2947
fallchinook,2004,14960,3954
fallchinook,2005,11194,5001
fallchinook,2006,8048,5998
fallchinook,2007,10197,7289
fallchinook,2008,16628,9050
fallchinook,2009,15167,10516
fallchinook,2010,41815,13404
fallchinook,2011,25249,14875
fallchinook,2012,34688,16493
fallchinook,2013,56565,19302
fallchinook,2014,60686,22204
fallchinook,2015,59299,26232
fallchinook,2016,34714,30361
fallchinook,2017,26430,33395
fallchinook,2018,16900,33449
fallchinook,2019,14349,33264
srsteelhead,1994,8185,
srsteelhead,1995,7632,
srsteelhead,1996,9583,
srsteelhead,1997,8991,
srsteelhead,1998,9559,
srsteelhead,1999,11746,
srsteelhead,2000,20604,
srsteelhead,2001,47716,
srsteelhead,2002,57291,
srsteelhead,2003,45391,16554
srsteelhead,2004,36209,19208
srsteelhead,2005,35977,22429
srsteelhead,2006,29836,25127
